code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	mark_pt	claim	title
VR3C	foil	歌剧院·mep	b3d74459-546d-45e3-802b-77e88f3dd91b	-1	S1		0	2704.5,2076.0,3040.5,2412.0	2844.52,2271.43,2900.52,2327.43	9xA	电气-竣工图-_地下一层无线信号覆盖平面图（一）
4XCW	kept	歌剧院·mep	d595779e-1f53-4fa9-8f26-823a5b92070c	1	S1		0	1055.0,550.2,1391.0,886.2	1195.04,690.20,1251.04,746.20	1xC	电气-竣工图-_二层楼宇自控平面图（一）
NVY4	kept	歌剧院·mep	6adca56c-6075-4b4f-9eee-86d6e6acd233	1	S1		0	2729.9,2016.6,3065.9,2352.6	2869.88,2156.60,2925.88,2212.60	9xA	电气-竣工图-_地下一层无线对讲平面图（一）
HAJN	kept	歌剧院·structure	1dabe785-9e21-4987-b015-f8027d7f92b7	2	S1		0	1014.5,811.0,1350.5,1147.0	1154.48,951.00,1210.48,1007.00	21xC	29 1区首道支撑结合栈桥平面布置图
AF3A	foil	歌剧院·mep	a4a99bef-b184-4564-b0ef-d43ebabaef08	-1	S1		0	2657.5,1923.9,2993.5,2259.9	2797.49,2063.92,2853.49,2119.92	9xA	电气-竣工图-_地下一层客流统计平面图（一）
X9YP	blank	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	-1	S1		0	251.3,810.6,587.3,1146.6	391.34,950.57,447.34,1006.57	3xG	47 2-1区钢支撑与钢立柱平面布置图
MWY4	foil	歌剧院·architecture	6c7aec2a-05d8-4537-aaac-66c4882eac37	-1	S1		0	2819.5,1995.4,3155.5,2331.4	2959.45,2135.38,3015.45,2191.38	9xA	建筑-竣工图--地下一层平面图(一)
3JVX	kept	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	3	S1		0	709.3,908.3,1045.3,1244.3	849.32,1048.32,905.32,1104.32	51xA	47 2-1区钢支撑与钢立柱平面布置图
3NFN	kept	第二工程·mep	cc5622d5-6539-4b25-acea-7d97cef15274	1	S1		0	1468.7,720.5,1804.7,1056.5	1608.74,860.48,1664.74,916.48	4xD	地下一层综合布线，有线电视平面图
J3Y4	blank	歌剧院·mep	a4a99bef-b184-4564-b0ef-d43ebabaef08	-1	S2		0	345.8,743.1,681.8,1079.1	485.82,883.08,541.82,939.08	12xJ	电气-竣工图-_地下一层客流统计平面图（一）
HARX	blank	spare	734ac3e6-2a7e-4835-8b7e-e0cfd7121655	-1	S2		0	1194.3,273.4,1530.3,609.4	1334.32,413.44,1390.32,469.44	12xG	电气-竣工图--运营商5G点位地下二层平面图
C34Y	blank	spare	67288a3c-4386-48f8-a034-6a39eb364ce8	-1	S2		0	455.1,535.2,791.1,871.2	595.11,675.17,651.11,731.17	2xD	电气-竣工图--地下二层照明平面图（三）
CEFK	kept	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	3	S2		0	648.0,850.4,984.0,1186.4	788.00,990.36,844.00,1046.36	45xB	47 2-1区钢支撑与钢立柱平面布置图
JUPL	foil	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	-1	S2		0	762.8,875.8,1098.8,1211.8	902.82,1015.77,958.82,1071.77	45xB	47 2-1区钢支撑与钢立柱平面布置图
UWAK	blank	歌剧院·mep	1500867b-829b-45a5-815a-d4d3a97855cf	-1	S2		0	446.9,546.0,782.9,882.0	586.90,685.99,642.90,741.99	19xJ	电气-竣工图-_地下一层RFID人员定位及资产定位（库房乐器）管理平面图（一）
Y9MF	blank	第二工程·structure	f5202056-303e-47ef-a5d9-ea2fe872539c	-1	S2		0	428.8,161.2,764.8,497.2	568.76,301.24,624.76,357.24	17xA	桩位平面图
VELE	blank	spare	a97d5416-1417-42b5-a28a-066d2002fa1e	-1	S2		0	809.6,312.5,1145.6,648.5	949.57,452.52,1005.57,508.52	13xG	建筑-竣工图--一层隔声隔振平面图（三）
4U3L	kept	第二工程·mep	eaabe227-d86e-4058-8007-595a707a3582	1	S2		0	1320.4,536.7,1656.4,872.7	1460.42,676.70,1516.42,732.70	4xD	地下一层综合安防，无线覆盖平面图
XU9K	kept	第二工程·mep	da832ffb-c48e-4790-a6a9-97f3e47638c9	1	S3		0	1320.4,536.7,1656.4,872.7	1460.42,676.70,1516.42,732.70	4xD	地下一层广播平面图
3P3H	dup	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	3	S3	CEFK	0	648.0,850.4,984.0,1186.4	788.00,990.36,844.00,1046.36	45xB	47 2-1区钢支撑与钢立柱平面布置图
YKKM	kept	歌剧院·architecture	864853a6-0a24-432e-8349-ab7e961fe82c	1	S3		0	2716.0,1977.4,3052.0,2313.4	2855.96,2117.44,2911.96,2173.44	9xA	建筑-竣工图--地下一层隔声隔振平面图（一）
JKFW	foil	歌剧院·architecture	e37ea404-c8bb-4811-bc4b-5ee4d58e7483	-1	S3		0	956.3,1805.7,1292.3,2141.7	1096.29,1945.70,1152.29,2001.70	2xB	建筑-竣工图--六层（设备层）完整平面图
LKPF	kept	歌剧院·architecture	ad825bfe-a72c-47a1-a7e6-06b93d65f616	1	S3		0	1124.4,1748.6,1460.4,2084.6	1264.40,1888.60,1320.40,1944.60	8xE	建筑-竣工图--五层(设备层)防火分区图
X4LA	kept	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	3	S3		0	739.8,936.5,1075.8,1272.5	879.80,1076.52,935.80,1132.52	54xA	47 2-1区钢支撑与钢立柱平面布置图
CUYN	kept	歌剧院·mep	1500867b-829b-45a5-815a-d4d3a97855cf	1	S3		0	2729.9,2016.6,3065.9,2352.6	2869.88,2156.60,2925.88,2212.60	9xA	电气-竣工图-_地下一层RFID人员定位及资产定位（库房乐器）管理平面图（一）
L3FL	kept	歌剧院·structure	1dabe785-9e21-4987-b015-f8027d7f92b7	2	S3		0	852.6,810.8,1188.6,1146.8	992.60,950.76,1048.60,1006.76	18xC	29 1区首道支撑结合栈桥平面布置图
XF93	kept	歌剧院·mep	b3d74459-546d-45e3-802b-77e88f3dd91b	1	S3		0	2729.9,2016.6,3065.9,2352.6	2869.88,2156.60,2925.88,2212.60	9xA	电气-竣工图-_地下一层无线信号覆盖平面图（一）
RLUP	blank	歌剧院·architecture	864853a6-0a24-432e-8349-ab7e961fe82c	-1	S3		0	450.5,555.5,786.5,891.5	590.50,695.47,646.50,751.47	18xE	建筑-竣工图--地下一层隔声隔振平面图（一）
XFEA	blank	第二工程·mep	cc5622d5-6539-4b25-acea-7d97cef15274	-1	S4		0	1198.9,208.8,1534.9,544.8	1338.88,348.83,1394.88,404.83	16xP	地下一层综合布线，有线电视平面图
3KVY	blank	歌剧院·architecture	e37ea404-c8bb-4811-bc4b-5ee4d58e7483	-1	S4		0	617.2,946.4,953.2,1282.4	757.16,1086.38,813.16,1142.38	4xE	建筑-竣工图--六层（设备层）完整平面图
LR4Y	foil	歌剧院·mep	1500867b-829b-45a5-815a-d4d3a97855cf	-1	S4		0	2845.1,1992.8,3181.1,2328.8	2985.06,2132.85,3041.06,2188.85	9xA	电气-竣工图-_地下一层RFID人员定位及资产定位（库房乐器）管理平面图（一）
NH3P	kept	歌剧院·architecture	e37ea404-c8bb-4811-bc4b-5ee4d58e7483	1	S4		0	838.7,1802.3,1174.7,2138.3	978.74,1942.30,1034.74,1998.30	2xB	建筑-竣工图--六层（设备层）完整平面图
NHUJ	foil	第二工程·mep	da832ffb-c48e-4790-a6a9-97f3e47638c9	-1	S4		0	1359.9,425.9,1695.9,761.9	1499.90,565.93,1555.90,621.93	4xD	地下一层广播平面图
AN4L	foil	歌剧院·mep	6adca56c-6075-4b4f-9eee-86d6e6acd233	-1	S4		0	2770.0,1906.1,3106.0,2242.1	2910.05,2046.07,2966.05,2102.07	9xA	电气-竣工图-_地下一层无线对讲平面图（一）
EEEK	kept	第二工程·structure	f5202056-303e-47ef-a5d9-ea2fe872539c	1	S4		0	760.1,398.7,1096.1,734.7	900.08,538.66,956.08,594.66	5xY	桩位平面图
P3WC	kept	歌剧院·architecture	6c7aec2a-05d8-4537-aaac-66c4882eac37	1	S4		0	2701.9,1991.4,3037.9,2327.4	2841.92,2131.42,2897.92,2187.42	9xA	建筑-竣工图--地下一层平面图(一)
KMKA	kept	歌剧院·mep	a4a99bef-b184-4564-b0ef-d43ebabaef08	1	S4		0	2729.9,2016.6,3065.9,2352.6	2869.88,2156.60,2925.88,2212.60	9xA	电气-竣工图-_地下一层客流统计平面图（一）
F3KK	dup	歌剧院·structure	1dabe785-9e21-4987-b015-f8027d7f92b7	2	S4	L3FL	0	852.6,810.8,1188.6,1146.8	992.60,950.76,1048.60,1006.76	18xC	29 1区首道支撑结合栈桥平面布置图
