code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	mark_pt	claim	title
WJKJ	kept	第二工程·architecture	67c1b6f3-2805-4595-b3de-a8ddbfd93dd1	24	S1		0	2663.6,1190.6,3083.6,1610.6	2873.58,1225.62,2873.58,1575.62	7	地下一层平面图
393V	blank	歌剧院·structure	5ad04c8f-fa77-4d9c-9039-eb0de0660f04	-1	S1		0	938.7,990.6,1178.7,1230.6	1058.74,1010.63,1058.74,1210.63	E	结构-竣工图--北区（小歌剧厅）地下一层主梁配筋总图
HFYF	kept	歌剧院·mep	c4303500-a457-47a7-a0eb-db7976f62e0c	16	S1		0	2526.6,906.6,2838.7,1218.7	2565.56,932.63,2799.76,1192.74	1	电气-竣工图--三层电气综合监控平面图（一）
KMRJ	blank	歌剧院·mep	e58207c7-403c-408b-8c7b-af9b46f08601	-1	S1		0	1465.6,445.1,1705.6,685.1	1485.55,565.10,1685.55,565.10	D	电气-竣工图--一层电气综合监控平面图（一）
AECF	kept	第二工程·mep	a048f1a6-0943-40e4-8241-14d2867d3259	28	S1		0	252.9,771.3,672.9,1191.3	462.94,806.31,462.94,1156.31	1	装饰电气-竣工图--负一层插座平面图
WVVA	kept	第二工程·structure	2973a7cb-9661-4d2a-bade-956dc81074de	16	S1		0	2013.1,1104.6,2433.1,1524.6	2223.09,1139.62,2223.09,1489.62	10	屋顶次梁平面整体配筋图
HR9W	kept	第二工程·structure	980f722d-2774-4840-999f-9cecf2e42e6e	32	S1		0	163.2,635.5,583.2,1055.5	198.17,845.46,548.17,845.46	A	第二道支撑平面布置图
FPAV	kept	第二工程·decoration	8eb82252-5dbf-4c2b-9f13-2e28e717fa52	16	S1		0	3724.1,315.1,4144.1,735.1	3934.06,350.05,3934.06,700.05	12	6F平面布置图
XHA9	blank	第二工程·structure	de0c3b4e-8338-4c64-9605-ae97e6fcb74c	-1	S1		0	1324.1,796.2,1564.1,1036.2	1344.08,916.22,1544.08,916.22	K	地下室结构顶板标高示意图
RLPM	kept	歌剧院·structure	0b7b66c5-33ab-4228-a2ad-cb02defc73fb	39	S1		0	1746.2,1405.2,2166.2,1825.2	1781.22,1615.17,2131.22,1615.17	F	结构-竣工图--南区（大、中歌剧厅）二层结构平面图
