code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
XNX9	kept	第二工程·structure	dde890d7-1f37-44de-a315-0329ca35c723	93	S1		1	276.0,432.5,316.0,472.5	0标高结构平面图
H3RU	blank	第二工程·mep	81441774-97d3-4ec5-b80b-158a99f13bf4	-1	S1		0	1635.3,1522.1,1777.0,1663.8	七层工艺桥架平面图
VVFN	kept	歌剧院·architecture	72392901-06de-4ee2-adab-bb8eb1598e4f	662	S1		0	2275.1,1608.7,2416.8,1750.5	建筑-竣工图--地下一层防火分区图
E4LL	kept	歌剧院·architecture	72392901-06de-4ee2-adab-bb8eb1598e4f	662	S1		0	2323.5,806.2,2465.2,947.9	建筑-竣工图--地下一层防火分区图
UE9V	kept	歌剧院·structure	9694d091-1d4d-4693-b736-2b37d83a48b0	172	S1		0	762.3,222.0,904.0,363.7	结构-竣工图--北区（小歌剧厅）屋顶结构平面图
V3XJ	kept	歌剧院·architecture	0fc2b9d0-1101-41e5-a726-7cd2a34922fc	168	S1		0	1980.0,852.1,2208.6,1080.8	建筑-竣工图--四层隔声隔振平面图（二）
9H9E	kept	第二工程·structure	9c8dc95b-6d4d-45db-8791-836cc64ad2cc	57	S1		0	544.9,662.2,1017.3,1134.6	五层框架梁平面整体配筋图
NV9C	blank	歌剧院·structure	bd52b2dd-98de-44a9-9732-a8b6d0e86097	102	S1		0	2558.6,453.2,2653.0,547.7	结构-竣工图--南区（大、中歌剧厅）四层主梁配筋图
CVUK	kept	歌剧院·structure	bd52b2dd-98de-44a9-9732-a8b6d0e86097	102	S1		0	1158.9,613.2,1280.4,734.6	结构-竣工图--南区（大、中歌剧厅）四层主梁配筋图
MXW3	kept	第二工程·structure	d2a04f9d-27c9-4a60-96ce-6962bb3b2d9e	361	S1		1	2268.6,1471.5,2308.6,1511.5	五层次梁平面整体配筋图
M49J	blank	歌剧院·architecture	6c7aec2a-05d8-4537-aaac-66c4882eac37	-1	S2		1	2112.8,1241.2,2152.8,1281.2	建筑-竣工图--地下一层平面图(一)
UAUH	kept	歌剧院·structure	9694d091-1d4d-4693-b736-2b37d83a48b0	172	S2		0	624.2,1130.0,803.5,1309.3	结构-竣工图--北区（小歌剧厅）屋顶结构平面图
NREE	kept	歌剧院·structure	94637e6c-d5d3-454d-8405-f9cb35ba0080	430	S2		0	601.3,422.9,743.0,564.6	结构-竣工图--南区（大、中歌剧厅）主舞台滑轮梁层钢结构平面布置图
3PXE	blank	第二工程·decoration	617132cf-f247-4098-bf30-3a4511df847f	-1	S2		0	2949.0,524.8,3090.7,666.5	9F平面布置图
CVYP	blank	第二工程·architecture	9a239a05-0658-408c-8955-fb761ae998e6	-1	S2		0	1107.8,198.1,1249.6,339.8	总平面图
HXVU	blank	第二工程·general	419ebf3e-03bc-45a4-8030-894810a3abac	-1	S2		0	1081.6,358.3,1223.4,500.0	上木配置平面图
L3UY	kept	歌剧院·structure	94637e6c-d5d3-454d-8405-f9cb35ba0080	430	S2		0	482.3,269.5,624.0,411.3	结构-竣工图--南区（大、中歌剧厅）主舞台滑轮梁层钢结构平面布置图
3N3F	kept	歌剧院·architecture	0fc2b9d0-1101-41e5-a726-7cd2a34922fc	168	S2		0	2108.4,656.1,2250.2,797.8	建筑-竣工图--四层隔声隔振平面图（二）
UERJ	kept	第二工程·structure	af3b54c5-92b7-471f-8b32-5a5a98376c08	21	S2		0	2476.6,669.8,3154.5,1347.7	地下二层次梁平面整体配筋图
KJXK	blank	歌剧院·mep	e1bc2059-83b9-461e-b551-d6eea9843540	-1	S2		0	842.1,423.7,936.6,518.2	电气-竣工图-_地下二层楼宇自控平面图（一）
NKUL	kept	歌剧院·architecture	a5012d1d-3ae8-4b0e-8201-6463dccd00fa	236	S3		0	2564.4,361.1,2803.5,600.2	建筑-竣工图--地下一层平面图(四)
HXWV	blank	第二工程·structure	8e3e3e01-5faa-4457-99c6-079aacc29b88	144	S3		0	655.1,254.0,796.8,395.7	地下一层框架梁平面整体配筋图
3UHV	kept	第二工程·structure	38548af9-3407-4d96-bd3d-20293ef35fdb	27	S3		0	2044.9,776.4,2517.3,1248.8	九层次梁平面整体配筋图
9YPJ	kept	歌剧院·architecture	a5012d1d-3ae8-4b0e-8201-6463dccd00fa	236	S3		0	2578.8,464.2,2850.8,736.2	建筑-竣工图--地下一层平面图(四)
KE3J	kept	歌剧院·architecture	88b61c4b-596c-4cd9-b10b-84979b9dac8b	145	S3		0	1769.5,1162.8,1911.3,1304.6	建筑-竣工图--四层18.700夹层（设备层）,17+.360夹层（设备层）平面图
AEFJ	kept	歌剧院·architecture	88b61c4b-596c-4cd9-b10b-84979b9dac8b	145	S3		0	2198.2,1694.0,2340.0,1835.8	建筑-竣工图--四层18.700夹层（设备层）,17+.360夹层（设备层）平面图
ACMN	kept	第二工程·structure	8e3e3e01-5faa-4457-99c6-079aacc29b88	144	S3		0	1834.6,283.7,1976.3,425.4	地下一层框架梁平面整体配筋图
K3NU	kept	第二工程·structure	b3272a2a-a36d-47b7-80bf-35712e742794	201	S3		1	1123.4,860.4,1163.4,900.4	0标高框架梁平面整体配筋图
VPMR	kept	第二工程·structure	9c8dc95b-6d4d-45db-8791-836cc64ad2cc	57	S3		0	458.9,649.8,931.4,1122.2	五层框架梁平面整体配筋图
XPXA	kept	歌剧院·structure	bd52b2dd-98de-44a9-9732-a8b6d0e86097	102	S3		0	3826.1,1093.6,3920.6,1188.1	结构-竣工图--南区（大、中歌剧厅）四层主梁配筋图
HKHW	dup	歌剧院·architecture	72392901-06de-4ee2-adab-bb8eb1598e4f	662	S3	VVFN	0	2275.1,1608.7,2416.8,1750.5	建筑-竣工图--地下一层防火分区图
VPPV	dup	歌剧院·structure	94637e6c-d5d3-454d-8405-f9cb35ba0080	430	S3	NREE	0	601.3,422.9,743.0,564.6	结构-竣工图--南区（大、中歌剧厅）主舞台滑轮梁层钢结构平面布置图
