code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
4YAW	kept	第二工程·structure	51f8f9ed-c0e6-4e40-b371-c4d16c9d4423	15	S1		0	685.3,627.5,1128.6,1070.8	屋顶结构平面图
JKXK	gated	第二工程·structure	51f8f9ed-c0e6-4e40-b371-c4d16c9d4423	2	S1		0	1000.2,1257.8,1454.4,1712.0	屋顶结构平面图
YMRX	gated	第二工程·general	a2961455-ab8d-4206-880b-f2f40b49dcde	129	S1		0	1495.2,1381.6,1637.0,1523.4	定位放大平面图一
YUP4	gated	第二工程·decoration	95f0fe7b-f066-439b-a7bd-89568c83450a	14	S1		0	863.8,580.9,1014.1,731.2	4F平面布置图
CLJV	kept	歌剧院·structure	b2ec6f33-91a2-4fdd-b0e1-45e084d4fb48	2	S1		0	1429.9,289.2,1571.6,430.9	05 第二阶段工况平面图
AMXF	gated	第二工程·architecture	057cd70f-45f1-4cd0-80a8-091812f794f5	822	S1		1	423.0,904.7,463.0,944.7	七层防火分区平面图
RMML	kept	歌剧院·architecture	645fbe73-4c4f-44fa-b058-d48d3165487a	91	S1		0	1371.6,1258.3,1513.4,1400.1	建筑-竣工图--一层防火分区图
KF3K	blank	第二工程·structure	25b20a96-9b16-4b39-b487-12a59c9418be	-1	S1		1	924.4,628.1,964.4,668.1	底板换撑平面布置图
NJPH	kept	第二工程·general	a2961455-ab8d-4206-880b-f2f40b49dcde	17	S1		0	1090.1,251.2,1231.9,392.9	定位放大平面图一
FKYJ	gated	第二工程·architecture	372a5f7f-350a-4b7a-abd8-92018a3a0552	109	S1		0	979.4,257.1,1121.2,398.8	八层平面图
4UM4	dup	第二工程·decoration	cb8ac229-59c9-4aa9-8fe0-1a5a8d8efba2	50	S1	AHEK	0	1891.8,1148.2,2033.5,1289.9	5F平面布置图
HNAV	kept	歌剧院·structure	b2ec6f33-91a2-4fdd-b0e1-45e084d4fb48	2	S1		0	1471.3,326.8,1613.0,468.6	05 第二阶段工况平面图
VYVE	gated	第二工程·structure	8c63dfc5-3263-4930-bb0b-e175ff5776ec	4	S2		0	66.9,488.7,633.8,1055.7	围护体平面布置图
94MJ	blank	歌剧院·architecture	0fc2b9d0-1101-41e5-a726-7cd2a34922fc	-1	S2		0	995.0,624.1,1136.8,765.8	建筑-竣工图--四层隔声隔振平面图（二）
FPAV	gated	歌剧院·architecture	1302ab12-e473-47eb-96ba-e040c2d29914	80	S2		0	1967.9,820.2,2109.6,961.9	建筑-竣工图--三层隔声隔振平面图（二）
FK3K	kept	歌剧院·architecture	0599d70b-b3b9-431f-9565-6570a96abbea	95	S2		0	2037.0,918.9,2178.7,1060.6	建筑-竣工图--扇形屋盖排水组织平面图（五）
KFKX	gated	第二工程·architecture	612b6efa-546d-43cc-b523-f2b0cfefbeb0	2	S2		0	185.7,396.6,327.5,538.3	S--九层平面图
3WJY	gated	第二工程·general	2d548e18-bbb2-4602-8f79-88bb97ec57d3	47	S2		0	598.2,716.3,739.9,858.0	下木配置平面图
FNWK	kept	歌剧院·structure	9cb85984-6716-47b3-b836-90c709c0bffc	28	S2		0	1963.5,127.9,2105.3,269.7	结构-竣工图--北区（小歌剧厅）地下二层墙柱平面分区图 （二）
VYRA	kept	第二工程·structure	25b20a96-9b16-4b39-b487-12a59c9418be	20	S2		1	1169.5,1221.8,1209.5,1261.8	底板换撑平面布置图
49VP	kept	歌剧院·architecture	efd4f65a-455f-4ce6-8edb-a35be65bc25f	29	S2		0	714.3,2124.3,856.0,2266.0	建筑-竣工图--四层平面图(三)
YX4N	kept	第二工程·architecture	47e2d5c9-a23f-4236-87d6-993fbfbea45a	42	S2		0	185.7,422.8,327.4,564.5	S--五层平面图
