code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	mark_pt	claim	title
KP9X	blank	第二工程·architecture	4a0aac54-35da-4564-a859-74493a426711	-1	S1		0	114.1,305.9,322.1,513.9	205.13,403.90,231.13,415.90	+8.921	九层夹层埋件布置图
93WP	kept	歌剧院·architecture	1f49031a-1349-4017-9f25-73a36fd56abe	2	S1		0	1361.8,2113.6,1546.0,2297.8	1442.36,2200.61,1465.39,2210.72	+4.800	建筑-竣工图--二层机房吸声平面图
W4RF	kept	歌剧院·structure	bcb123db-318f-437c-843e-4f5ad75f1af0	6	S1		0	649.0,2199.5,743.4,2293.8	690.29,2243.86,702.08,2249.47	+5.850	结构-竣工图- C-南区（大、中歌剧厅）地下二层夹层（-10.3m）结构平面总图
YCVP	blank	第二工程·decoration	91fc41fd-20a9-46c8-b6bc-2313c2b1af30	-1	S1		0	1482.4,226.4,1690.4,434.4	1573.43,324.35,1599.43,336.35	+28.222	负3F卫生间平面放大图2
RHNH	kept	第二工程·structure	27bc32e6-8bff-4bf0-a17e-a3f8036c5a7c	3	S1		0	231.6,1040.8,504.3,1313.5	350.93,1171.11,385.02,1183.15	+31.366	六层结构平面图
EAFJ	kept	歌剧院·architecture	ab3d98df-85c0-435a-8b47-e2aed00bb56d	12	S1		0	2755.8,1600.5,2976.0,1820.6	2852.14,1704.66,2879.66,1716.45	+14.900	建筑-竣工图--四层平面图(一)
N9LX	kept	第二工程·architecture	474416fa-23f0-49ad-8434-04f64aa9ee00	2	S1		0	350.7,323.4,455.6,428.2	396.60,372.58,409.70,378.94	+26.900	六层埋件布置图
XCJC	kept	第二工程·structure	dfe5faf7-a92a-429f-8b39-d41213c25ef1	2	S1		0	128.8,712.4,329.4,912.9	225.60,800.13,232.62,825.19	+0.100	三层次梁平面整体配筋图
KEFR	kept	第二工程·decoration	32f87374-8732-43ee-b125-3666ff76a746	3	S1		0	1742.1,708.8,1967.8,934.5	1840.85,813.34,1869.06,830.03	+3.000	四层至七层西电梯厅放大平面图、平顶图
YUHU	kept	第二工程·architecture	67c1b6f3-2805-4595-b3de-a8ddbfd93dd1	11	S1		0	684.6,629.6,955.8,900.7	803.27,759.21,837.17,771.07	+3.900	地下一层平面图
PENC	dup	歌剧院·mep	9c8b258b-71eb-4292-ae24-aaa7288a28c0	23	S1	WVVA	0	2819.6,1927.6,3044.2,2152.3	2917.86,2033.79,2945.94,2046.15	+13.000	电气-竣工图--三层电力平面图（一）
UURX	blank	歌剧院·mep	8fd6ddbe-9ce6-48af-baec-2e4f1f4a6ff5	-1	S2		0	755.3,1503.6,963.3,1711.6	846.34,1601.65,872.34,1613.65	-5.200	电气-竣工图-_地下一层安防（报警、监控、门禁）平面图（二）
CUJ4	kept	歌剧院·architecture	6a933655-a51b-41ea-914d-d4549afa42fb	9	S2		0	2437.1,2168.3,2652.8,2384.0	2531.43,2314.63,2558.39,2324.74	+10.900	建筑-竣工图--地下二层防火分区图
CVCX	kept	歌剧院·architecture	55dbf060-ecff-4010-9302-3c49730a918b	32	S2		0	783.0,1245.5,935.7,1398.3	849.80,1316.55,868.90,1327.22	+5.180	建筑-竣工图--扇形屋盖排水组织平面图（四）
