code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
KM4U	dup	第二工程·mep	6f01cb68-ccbd-4f51-9917-8a291529d022	194	S1	U4HW	0	2865.5,651.4,3015.6,801.5	装饰电气-竣工图--五层照明平面图
XRAK	kept	歌剧院·mep	1719b9f7-9255-4ae2-9f6b-26d490562f3c	213	S1		0	1076.6,747.2,1218.3,888.9	电气-竣工图-_地下一层综合布线平面图（二）
KP9X	kept	歌剧院·mep	6c51e768-0307-4a0c-81af-69e0f0bf238d	52	S1		0	1334.9,942.5,1476.7,1084.3	给排水-竣工图--二层给排水及消火栓平面图（四）
X9NF	blank	第二工程·mep	92507b2b-bb09-4bbb-a486-9ca290b59c9b	-1	S1		0	1761.1,751.6,1902.8,893.3	五层给排水平面图
YHFF	kept	第二工程·mep	5580c840-fb54-4b8b-ad56-461bd5cbe539	291	S1		1	416.1,754.2,456.1,794.2	二层吊顶内火灾自动报警系统平面图
MYX9	kept	第二工程·mep	6f01cb68-ccbd-4f51-9917-8a291529d022	194	S1		0	3078.5,819.5,3228.7,969.7	装饰电气-竣工图--五层照明平面图
NPVU	kept	歌剧院·mep	c6c12d86-c5f1-44b8-ba45-ca3b51f5a805	13	S1		0	3205.3,1945.3,3347.0,2087.0	电气-竣工图-_三层公共广播及紧急广播平面图（三）
EPXL	kept	歌剧院·mep	24b0b29b-f57c-46eb-88a9-1141f6972f8d	229	S1		0	2200.1,1901.3,2341.9,2043.0	电气-竣工图-_地下二层安防（报警、监控、门禁）平面图（二）
AFFK	blank	第二工程·structure	a0e03f61-c58b-448e-a74d-37fd903d9434	-1	S1		1	1297.6,1095.8,1337.6,1135.8	第三道支撑平面布置图
KMRJ	blank	第二工程·architecture	3941047a-3338-4947-b558-32100a730033	-1	S2		0	785.4,337.9,863.2,415.6	八层防火分区平面图
EJCM	blank	歌剧院·mep	6c51e768-0307-4a0c-81af-69e0f0bf238d	-1	S2		0	1458.1,1491.9,1599.9,1633.6	给排水-竣工图--二层给排水及消火栓平面图（四）
9KAJ	dup	第二工程·mep	59a5d3ae-62cd-4966-b691-b327c7c3436d	109	S2	49YV	0	2715.0,698.9,3582.7,1566.6	装饰电气-竣工图--负二层插座平面图
CULA	blank	歌剧院·structure	1458300e-6366-4518-8f8a-5b85e72881e4	-1	S2		0	466.9,1109.5,608.6,1251.2	结构-竣工图--基础分区平面图（三）
C494	kept	第二工程·mep	8c93321a-d7b8-448c-b1d0-3cda68d12a45	1	S2		0	1230.5,0.0,3642.5,2412.0	四层广播平面图
9CWW	blank	第二工程·decoration	3cda3e4f-d6eb-4477-a921-46a1ccf95014	-1	S2		0	1227.5,870.6,1369.2,1012.4	园区内门厅平面放大布置图
MWCF	blank	歌剧院·architecture	864853a6-0a24-432e-8349-ab7e961fe82c	-1	S2		0	368.3,886.3,651.7,1169.8	建筑-竣工图--地下一层隔声隔振平面图（一）
UURX	kept	歌剧院·mep	7982c1cc-0960-4483-bf3a-00a436f1d677	22	S2		0	1570.7,1570.4,1682.1,1681.8	电气-竣工图--五层照明平面图（一）
K9FM	kept	歌剧院·mep	f425cdd0-23c1-4d1f-ac9b-21395590dbba	30	S2		0	1662.1,1613.6,1833.0,1784.5	电气-竣工图--五层应急照明和智能疏散指示平面图（一）
34NH	kept	歌剧院·mep	9c0567ff-3483-4444-b8ad-d1766a65cffe	296	S3		0	2022.8,229.8,2117.3,324.3	电气-竣工图-_一层安防（报警、监控、门禁）平面图（一）
PLFA	kept	歌剧院·mep	f8a60305-387b-4608-adc7-8ab48a3bac6d	19	S3		0	1211.9,1051.9,1404.9,1244.9	电气-竣工图--四层余压监控及防火门平面图（一）
49YV	kept	第二工程·mep	59a5d3ae-62cd-4966-b691-b327c7c3436d	109	S3		0	2715.0,698.9,3582.7,1566.6	装饰电气-竣工图--负二层插座平面图
XFEA	kept	第二工程·mep	5580c840-fb54-4b8b-ad56-461bd5cbe539	291	S3		1	4010.1,2076.1,4050.1,2116.1	二层吊顶内火灾自动报警系统平面图
U4HW	kept	第二工程·mep	6f01cb68-ccbd-4f51-9917-8a291529d022	194	S3		0	2865.5,651.4,3015.6,801.5	装饰电气-竣工图--五层照明平面图
XHA9	kept	第二工程·mep	2fa05706-1e89-4108-ae9e-b1ade2bf3f8d	210	S3		1	2951.2,1908.4,2991.2,1948.4	一层火灾自动报警系统平面图
KVLK	kept	第二工程·mep	3859c1fb-0c5b-4271-9676-8f2cd55c14d4	279	S3		0	2671.0,0.0,5083.0,2412.0	地下二层给排水平面图
XMVY	blank	第二工程·general	e3875c84-33b6-46f6-b4ef-3826124c3a78	-1	S3		0	1399.2,326.3,1481.9,409.0	灯具放大平面图三
