code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
ELER	blank	第二工程·architecture	d462c95e-8593-4396-8684-9bd0562ce456	-1	S1		0	662.4,185.5,804.1,327.2	S--六层平面图
WFXU	dup	歌剧院·mep	974ede88-afb8-46c3-9853-ce3d3cd1ba18	701	S1	AJ4F	0	535.1,1286.1,721.4,1472.3	电气-竣工图-_三层无线信号覆盖平面图（四）
AHEK	kept	第二工程·mep	aa56ecf6-181c-46dc-ad8e-b30ba758e0b8	317	S1		0	2779.5,1309.4,3057.9,1587.8	二层消防平面图
F434	blank	歌剧院·architecture	0fc2b9d0-1101-41e5-a726-7cd2a34922fc	-1	S1		0	995.0,624.1,1136.8,765.8	建筑-竣工图--四层隔声隔振平面图（二）
3CXV	blank	歌剧院·mep	4c9faf45-cd9c-4429-ad88-a7955f183576	-1	S1		0	1593.9,1535.3,1735.7,1677.1	电气-竣工图-_四层夹层楼宇自控平面图
HKM4	kept	歌剧院·mep	4c9faf45-cd9c-4429-ad88-a7955f183576	110	S1		0	2465.0,1070.2,2653.4,1258.5	电气-竣工图-_四层夹层楼宇自控平面图
RWHN	kept	第二工程·mep	45a699be-1232-4fe3-a423-b69996a522ad	160	S1		0	982.7,16.3,1273.8,307.4	地下一层变电所平面布置图
WUEM	kept	第二工程·mep	aa56ecf6-181c-46dc-ad8e-b30ba758e0b8	317	S1		0	2528.2,1311.0,2670.0,1452.7	二层消防平面图
MVVW	kept	歌剧院·mep	50bda53c-c4f7-46f4-8eef-3fa1ef9293e9	230	S1		0	866.2,1078.0,989.6,1201.5	电气-竣工图--三层电气综合监控平面图（四）
E394	dup	歌剧院·mep	50bda53c-c4f7-46f4-8eef-3fa1ef9293e9	230	S2	MVVW	0	866.2,1078.0,989.6,1201.5	电气-竣工图--三层电气综合监控平面图（四）
LWHJ	kept	歌剧院·mep	83e3599b-679b-4297-b369-5daee7e8f485	1000	S2		0	2247.5,1429.3,2413.8,1595.5	电气-竣工图-_地下二层综合布线平面图（三）
4XJ4	blank	第二工程·mep	45a699be-1232-4fe3-a423-b69996a522ad	-1	S2		0	598.0,440.9,746.7,589.6	地下一层变电所平面布置图
HYKK	kept	歌剧院·mep	50bda53c-c4f7-46f4-8eef-3fa1ef9293e9	230	S2		0	44.6,1482.8,229.9,1668.1	电气-竣工图--三层电气综合监控平面图（四）
4FKL	kept	第二工程·mep	a8dd12c3-3073-477f-9afa-51c59daa98eb	147	S2		0	1572.4,537.3,1801.1,766.0	六层火灾自动报警系统平面图
4L3E	kept	第二工程·mep	414ba650-147f-45d9-b074-e687701edd87	215	S2		0	1072.5,120.4,1672.9,720.8	一层气体灭火平面图
FPAV	kept	第二工程·mep	6f45b4f8-43d0-4d10-8d70-85073efe6b2e	389	S2		0	973.2,664.4,1158.4,849.7	装饰电气-竣工图--二层火灾自动报警点位平面图
NUCE	blank	第二工程·general	2d548e18-bbb2-4602-8f79-88bb97ec57d3	-1	S2		0	1252.0,314.0,1393.8,455.7	下木配置平面图
JUJE	blank	歌剧院·structure	3b56ff11-ef93-4b6f-a679-f3b460d20382	-1	S2		0	1998.6,907.3,2093.1,1001.7	结构-竣工图--南区（大、中歌剧厅）一层以下墙柱地下一层~一层平面分图（一）
FXYW	kept	歌剧院·mep	091b5972-cde5-4606-9e34-5d4df368d3f3	83	S3		0	565.1,535.8,767.3,737.9	电气-竣工图-_地下一层楼宇自控平面图（五）
4WFX	blank	第二工程·structure	82b1813e-f439-4298-833e-79efb7b1685f	-1	S3		1	988.9,772.4,1028.9,812.4	0标高框架梁平面整体配筋图
VHFA	kept	第二工程·mep	cb32fb15-f31a-4dcf-8ce9-df719d8ed99d	91	S3		0	863.0,679.4,1075.8,892.2	装饰电气-竣工图--五层火灾自动报警点位平面图
FF4H	kept	第二工程·mep	45a699be-1232-4fe3-a423-b69996a522ad	160	S3		0	965.6,0.0,1365.3,399.7	地下一层变电所平面布置图
AJ4F	kept	歌剧院·mep	974ede88-afb8-46c3-9853-ce3d3cd1ba18	701	S3		0	535.1,1286.1,721.4,1472.3	电气-竣工图-_三层无线信号覆盖平面图（四）
CLJV	kept	歌剧院·mep	60d66969-f21f-4646-ab67-146e9a1e1a2e	80	S3		0	2279.7,2093.8,2424.8,2238.9	电气-竣工图-_五层无线信号覆盖平面图（一）
VMAC	kept	歌剧院·mep	83e3599b-679b-4297-b369-5daee7e8f485	1000	S3		0	2559.8,809.2,2701.6,950.9	电气-竣工图-_地下二层综合布线平面图（三）
94MJ	blank	第二工程·decoration	9bff2a39-0534-459c-9069-ecbbddf9ef9e	-1	S3		0	1235.7,716.5,1377.5,858.2	负2F平面布置图
