code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
W49R	kept	第二工程·decoration	cb8ac229-59c9-4aa9-8fe0-1a5a8d8efba2	52	S1		0	1796.1,574.3,1937.8,716.0	5F平面布置图
3J9C	kept	第二工程·decoration	91fc41fd-20a9-46c8-b6bc-2313c2b1af30	45	S1		0	1867.0,36.9,2211.6,381.5	负3F卫生间平面放大图2
4A93	kept	第二工程·architecture	e8dad539-cc3a-4d5f-99aa-7e848ccf8b65	24	S1		0	370.4,409.7,512.1,551.4	八层埋件布置图
4XFY	kept	歌剧院·architecture	c2d650ce-f5b4-434a-a6ca-35f78d22b1e1	73	S1		0	489.5,295.8,739.4,545.7	建筑-竣工图--大巴停车区平面图（二）
XJ33	blank	第二工程·structure	343b0cda-97e8-4ba5-9d1f-1a335938a13f	-1	S1		0	2380.1,860.3,2521.8,1002.0	首层结构平面图
JFEP	kept	歌剧院·architecture	62ef1f78-547e-404b-8c47-b718c2c81909	1142	S1		0	2080.7,1401.9,2222.5,1543.6	建筑-竣工图--三层防火分区图
3HJK	kept	第二工程·structure	8c63dfc5-3263-4930-bb0b-e175ff5776ec	5	S1		0	1736.9,252.8,2303.8,819.7	围护体平面布置图
W3CU	kept	第二工程·decoration	9fb7b30f-b342-4945-9f82-3d1043b72bdc	53	S1		0	1025.8,718.3,1167.6,860.0	卫生间平面放大图
YKUW	kept	歌剧院·structure	8950a4bf-1650-4ffa-a7cd-a44261b6df9e	222	S1		0	977.5,1199.4,1072.0,1293.9	结构-竣工图--南区（大、中歌剧厅）一层以下墙柱地下一层~一层平面分图（四）
MFFW	kept	第二工程·decoration	5c718383-927f-41b4-8cb8-7c18987ec3bf	93	S1		0	636.0,71.9,877.4,313.3	9F男-女卫平面放大图
HVNK	kept	第二工程·general	419ebf3e-03bc-45a4-8030-894810a3abac	145	S1		0	1561.1,618.0,1702.9,759.7	上木配置平面图
3U3K	blank	歌剧院·mep	1d548d4c-211a-4979-94e2-1883e7fddae8	-1	S2		0	663.6,805.7,805.3,947.5	给排水-竣工图--二层喷淋抗震支架平面图（五）
39VN	kept	第二工程·architecture	1bec5679-092a-4c03-850e-8c0a42e13675	66	S2		0	1234.3,807.3,1482.9,1056.0	四层防火分区平面图
VJRN	kept	歌剧院·architecture	2ce1b37f-7917-4d52-8102-0022d257823e	413	S2		0	539.0,1248.0,633.5,1342.5	建筑-竣工图--大歌剧厅台仓隔声隔振平面图
HUXR	kept	第二工程·architecture	f134b0ac-e83a-4cd1-9546-8b9023e21ea2	4	S2		0	2672.0,0.0,5084.0,2412.0	地下二层平面图
KH9N	kept	第二工程·architecture	d4cb7310-2b82-47c8-a277-b16ccf61665e	15	S2		0	176.9,246.5,318.6,388.2	S--屋顶层平面图
M3XA	kept	第二工程·structure	f5202056-303e-47ef-a5d9-ea2fe872539c	851	S2		0	968.7,560.8,1029.5,621.6	桩位平面图
LXAE	blank	第二工程·mep	5e466978-c662-46fb-b6b5-18891cc85d9b	-1	S2		0	1335.5,517.5,1446.0,628.0	一层工艺桥架平面图
YL9E	kept	第二工程·structure	f5202056-303e-47ef-a5d9-ea2fe872539c	851	S2		0	1744.9,644.9,1829.6,729.5	桩位平面图
XMVY	kept	第二工程·decoration	7ffab564-ad5f-4ef0-86c0-fea242d48c9f	69	S2		1	887.9,164.8,928.3,205.2	8F电梯厅-前厅平面放大图
3J4A	kept	第二工程·decoration	95f0fe7b-f066-439b-a7bd-89568c83450a	221	S2		0	569.2,265.9,719.5,416.2	4F平面布置图
FYLK	kept	歌剧院·architecture	490fe72b-6b9e-4e5c-9a94-34aa24ec7b68	311	S2		0	2892.6,1739.4,3034.3,1881.2	建筑-竣工图--三层隔声隔振平面图（一）
NMC4	kept	第二工程·decoration	8a0369b4-3250-429e-8d93-5d5c5a03de19	2	S3		0	3740.1,115.1,4427.0,802.0	3F平面布置图
KXFH	kept	歌剧院·architecture	62ef1f78-547e-404b-8c47-b718c2c81909	1142	S3		0	2206.2,779.2,2347.9,921.0	建筑-竣工图--三层防火分区图
N4MX	kept	歌剧院·architecture	d3efa908-9533-44e2-804d-d2fa9a7ad362	46	S3		0	990.6,621.5,1267.1,897.9	建筑-竣工图--台塔屋顶隔声隔振平面图
