patch	tile	box_index
P1-01	metro_7c73545a_t0016	1
P1-02	metro_daa18df0_t0006	1
P1-03	sgoh_23cf0d4f_t0032	4
P1-04	sgoh_030f8193_t0020	2
P1-05	sgoh_0b7b66c5_t0018	4
P1-06	sgoh_ce1c8744_t0019	2
P1-07	sgoh_0b7b66c5_t0030	3
P1-08	sgoh_0224bc80_t0002	1
P1-09	sgoh_0b7b66c5_t0070	1
P1-10	metro_51d942f3_t0009	1
P1-11	metro_2124af82_t0002	3
P1-12	sgoh_030f8193_t0041	4
P1-13	metro_daa18df0_t0009	4
P1-14	metro_33037081_t0021	3
P1-15	sgoh_0b7b66c5_t0040	1
P1-16	sgoh_0ca8f4ae_t0015	2
P1-17	sgoh_030f8193_t0038	1
P1-18	sgoh_9623c010_t0036	4
P1-19	metro_27bc32e6_t0004	2
P1-20	sgoh_ce1c8744_t0046	3
P2-01	metro_33037081_t0011	2
P2-02	sgoh_9623c010_t0009	2
P2-03	sgoh_63a7ee69_t0030	1
P2-04	metro_3cda3e4f_t0003	1
P2-05	sgoh_030f8193_t0011	2
P2-06	sgoh_b8794f5d_t0029	4
P2-07	metro_2124af82_t0019	4
P2-08	sgoh_d5b3b2a0_t0014	3
P2-09	metro_7411241d_t0012	2
P2-10	metro_7c73545a_t0013	2
P2-11	sgoh_030f8193_t0007	3
P2-12	metro_dc35e129_t0005	4
P2-13	sgoh_030f8193_t0012	4
P2-14	sgoh_b8794f5d_t0020	1
P2-15	sgoh_318c0434_t0011	4
P2-16	metro_2124af82_t0004	2
P2-17	metro_d1cc9d5e_t0001	1
P2-18	sgoh_0ca8f4ae_t0042	2
P2-19	metro_8f977527_t0012	1
P2-20	sgoh_c10919d7_t0003	1
P3-01	metro_33037081_t0009	4
P3-02	metro_d1cc9d5e_t0021	2
P3-03	sgoh_030f8193_t0028	4
P3-04	metro_66899823_t0030	4
P3-05	sgoh_0ca8f4ae_t0039	1
P3-06	sgoh_23cf0d4f_t0004	1
P3-07	sgoh_c10919d7_t0022	3
P3-08	sgoh_1302ab12_t0031	2
P3-09	sgoh_0ca8f4ae_t0037	1
P3-10	sgoh_10b42d57_t0020	3
P3-11	sgoh_c10919d7_t0039	1
P3-12	sgoh_0ca8f4ae_t0020	1
P3-13	sgoh_23cf0d4f_t0037	1
P3-14	sgoh_030f8193_t0012	3
P3-15	sgoh_23cf0d4f_t0045	1
P3-16	metro_d1cc9d5e_t0021	3
P3-17	sgoh_5c5462bc_t0023	1
P3-18	metro_26ce158f_t0013	1
P3-19	sgoh_0ca8f4ae_t0028	1
P3-20	sgoh_5c5462bc_t0023	4
P4-01	sgoh_5c5462bc_t0013	1
P4-02	sgoh_e446a10e_t0014	2
P4-03	metro_d1cc9d5e_t0019	1
P4-04	metro_7c73545a_t0014	3
P4-05	sgoh_030f8193_t0004	3
P4-06	sgoh_ce1c8744_t0030	2
P4-07	sgoh_23cf0d4f_t0032	1
P4-08	sgoh_0ca8f4ae_t0021	2
P4-09	metro_daa18df0_t0013	1
P4-10	metro_2124af82_t0018	2
P4-11	sgoh_0b7b66c5_t0062	1
P4-12	sgoh_23cf0d4f_t0012	1
P4-13	metro_7c73545a_t0015	3
P4-14	sgoh_0ca8f4ae_t0012	4
P4-15	metro_3cda3e4f_t0003	3
P4-16	metro_194f877d_t0017	1
P4-17	sgoh_0bad5ce4_t0039	1
P4-18	sgoh_0b7b66c5_t0058	4
P4-19	sgoh_c10919d7_t0010	3
P4-20	sgoh_030f8193_t0016	2
P5-01	sgoh_030f8193_t0011	4
P5-02	sgoh_0b7b66c5_t0073	4
P5-03	metro_51d942f3_t0009	3
P5-04	sgoh_030f8193_t0043	1
P5-05	sgoh_030f8193_t0040	4
P5-06	metro_194f877d_t0021	1
P5-07	metro_33037081_t0019	1
P5-08	metro_7c73545a_t0023	1
P5-09	metro_33037081_t0012	3
P5-10	metro_27bc32e6_t0018	2
P5-11	sgoh_d9cccac1_t0021	3
P5-12	metro_3cda3e4f_t0002	2
P5-13	metro_3941047a_t0009	3
P5-14	metro_d1cc9d5e_t0017	2
P5-15	metro_7003016d_t0009	1
P5-16	sgoh_c10919d7_t0012	3
P5-17	sgoh_23cf0d4f_t0020	2
P5-18	sgoh_c37e054f_t0014	1
P5-19	sgoh_0ca8f4ae_t0029	4
P5-20	metro_d1cc9d5e_t0013	2
P6-01	sgoh_318c0434_t0011	1
P6-02	metro_194f877d_t0019	2
P6-03	metro_194f877d_t0020	4
P6-04	sgoh_0224bc80_t0030	3
P6-05	sgoh_0b7b66c5_t0003	4
P6-06	sgoh_9623c010_t0040	1
P6-07	metro_27bc32e6_t0018	1
P6-08	sgoh_0b7b66c5_t0075	1
P6-09	metro_daa18df0_t0006	2
P6-10	sgoh_3ffbda35_t0023	4
P6-11	sgoh_9623c010_t0045	3
P6-12	metro_194f877d_t0011	1
P6-13	metro_27bc32e6_t0012	3
P6-14	metro_e2319873_t0021	3
P6-15	sgoh_522b2314_t0000	2
P6-16	sgoh_030f8193_t0039	3
P6-17	sgoh_23cf0d4f_t0028	4
P6-18	sgoh_23cf0d4f_t0041	3
P6-19	sgoh_22afffe1_t0040	4
P6-20	sgoh_9623c010_t0040	3
