ref	stratum	drawing_id	scale_m_pt	confidence	title
W49R	零置信	2b65c057-ec76-4a5f-9366-21ef6437d3cd	0.028222	0.00	电气-竣工图--基础接地平面（四）
CXXR	中等置信	c7602931-5314-43c9-984d-595ce0a4bb04	0.035278	0.50	C1玻璃幕墙竖剖节点详图
NLNJ	中等置信	c8ec9d4b-bf39-4071-a4fb-fd4ce086bdcf	0.011796	0.50	电气-竣工图-_二层安防（报警、监控、门禁）平面图（一）
Y4CX	满分置信·常用比例	06d9ce03-abdc-4e07-a9f8-aa4b39c27671	0.052917	1.00	给排水-竣工图--一层自动喷水灭火平面图(五)
CYJE	满分置信·常用比例	31884766-c7e7-4e77-9942-09db24e002fc	0.052917	1.00	结构-竣工图--大歌剧厅墙上舞台预埋件定位及详图（八）
HUXR	满分置信·常用比例	f776ce7b-3acc-417d-9c43-556853ff9d5b	0.035278	1.00	建筑-竣工图--汽车坡道1-墙地交界节点详图
K9YC	满分置信·**离谱比例**	23cf0d4f-387b-4ae0-a97f-da0f48d0245b	0.005292	1.00	结构-竣工图--南区（大、中歌剧厅）一层结构平面图（四）
4HNR	满分置信·常用比例	095ff304-48e5-4033-835b-c040ee97ce37	0.123472	1.00	电气-竣工图--四层夹层应急照明和智能疏散指示平面总图
PHYP	满分置信·常用比例	3b56ff11-ef93-4b6f-a679-f3b460d20382	0.052917	1.00	结构-竣工图--南区（大、中歌剧厅）一层以下墙柱地下一层~一层平面分图（一）
ARVH	零置信	e95543fb-bbc4-440e-89ce-eb456c2f7b9a	0.035278	0.00	定位放大平面图二
4UKY	零置信	9411a396-a3c2-4788-b7cd-b08f2f79bc6b	0.897437	0.00	剖面图
3XMA	满分置信·**离谱比例**	2e408cb1-509a-42d4-bba5-af77765192fc	0.003528	1.00	建筑-竣工图--汽车坡道4-墙地交界节点详图
UWV9	中等置信	ee7052b4-90a9-4dae-a878-f35b2f5f51ab	0.062278	0.50	六层给排水平面图
FK3K	满分置信·常用比例	5de234d2-4c16-4cb6-a1bf-673bfe402746	0.052917	1.00	结构-竣工图--南区（大、中歌剧厅）地下一层主梁配筋图（二）
NRWW	零置信	6d0f8541-9cdd-4610-8af2-c54530df9e28	0.017639	0.00	建筑-竣工图--楼梯ST-06放大详图(一)
C9LL	零置信	76e07c31-4fe5-4611-8826-043ca6426023	0.035278	0.00	四层消防电源、防火门与电气监控平面图
UWFN	零置信	cf15d42f-4b71-4530-97d4-cf86e930d2b4	0.705556	0.00	电气-竣工图--电气修改通知单
YR4J	满分置信·**离谱比例**	9af53281-7091-4f04-9050-eebf97c2369e	0.003528	1.00	建筑-竣工图--扇形屋面节点大样4
3N4H	满分置信·常用比例	ec173cb4-4f12-434e-9c91-d3f5293fc1aa	0.007056	1.00	结构-竣工图--C区支座埋件布置图（二）
3J9C	零置信	90d9217c-2495-4db9-895e-aa1e5a588185	0.007056	0.00	六层照明平面图
FLPA	满分置信·**离谱比例**	6425ee73-bec7-4d04-b00a-a3129defeada	0.002117	1.00	电气-竣工图-_地下室台仓安防（报警、监控、门禁）平面图（一）
XHPN	中等置信	ebfa641b-f971-46c4-860a-e0e5efd642c5	0.176389	0.33	C1玻璃幕墙竖剖节点详图
LRUP	中等置信	b8d7f0b0-217b-4b29-a823-d94859f80bb1	0.026044	0.50	给排水-竣工图--地下二层给排水及消火栓平面图（一）
MAWE	中等置信	58996c18-e009-431c-9e91-c25c54e14574	0.062112	0.25	C2玻璃幕墙竖剖节点详图
9WH3	满分置信·常用比例	26c711d8-be92-4cab-851b-d5c80b604a4d	0.052917	1.00	电气-竣工图--地下室台仓动力平面图
FYLK	满分置信·**离谱比例**	3767375c-5bd3-4af8-844a-8fe534223e8d	0.003528	1.00	电气-竣工图--地下一层电气抗震支架平面图（二）
F9KM	中等置信	4690e068-d2ee-4903-83ed-7a2230030e13	0.869698	0.50	58 基础底板换撑平面布置图
KLWL	满分置信·**离谱比例**	d39f6c49-2913-4fdc-850a-7677a184983f	0.005292	1.00	地下三层层消防电源、防火门与电气监控平面图
3HJK	满分置信·常用比例	d762e141-e626-4819-996f-f8ecc3fa7c16	0.052917	1.00	电气-竣工图--二层余压监控及防火门平面图（五）
VFMH	满分置信·**离谱比例**	46472b37-511d-4cdb-9c2f-705305ab36a0	0.003528	1.00	建筑-竣工图--大歌剧厅五层台塔设备屋面通风立面节点+图(一)
AWME	零置信	95f37ff2-230b-44d4-83ea-ef23c94186ac	0.001058	0.00	屋顶层综合布线，有线电视平面图
3U3K	中等置信	d595779e-1f53-4fa9-8f26-823a5b92070c	0.002315	0.50	电气-竣工图-_二层楼宇自控平面图（一）
YK4A	满分置信·**离谱比例**	a341b001-276f-48e4-b674-e482a0753363	0.003528	1.00	建筑-竣工图--扇形屋面节点大样3
KRXU	零置信	9529a3b1-eb3e-46ca-9e8f-131881f8e9c9	0.176389	0.00	GRC局部大样详图
9WNE	零置信	97a39c8f-8a0f-4332-822d-109ba08d59a4	0.017639	0.00	结构-竣工图--楼梯ST-07结构详图
M4YE	满分置信·常用比例	c1761627-9269-465f-b439-62398c0732db	0.017639	1.00	一层卫生间详图（四）
WWVC	满分置信·常用比例	38cb16d7-6124-497d-af06-7b538c65ec06	0.052917	1.00	电气-竣工图-_地下一层楼宇自控平面图（四）
